tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,300,300,0,0,0,0,50,25480,10922,50,0,300,0,0,0,0,0,0,0,0
2,50,0,300,300,0,0,0,0,50,21025,12399,50,0,300,0,0,0,0,0,0,0,0
3,49,1,299,300,2,0,0,0,49,17412,13739,50,0,300,0,0,0,0,0,0,0,0
4,49,1,299,300,2,0,0,0,49,14094,15102,50,0,300,0,0,0,0,0,0,0,0
5,48,2,298,300,4,0,0,0,48,11649,16460,50,0,300,0,0,0,0,0,0,0,0
6,48,2,298,298,4,4,0,0,48,9605,17994,50,0,300,0,0,0,0,0,0,0,0
7,46,4,297,297,6,6,0,0,46,7914,19433,50,0,300,0,0,0,0,0,0,0,0
8,46,4,297,296,6,8,0,0,46,6483,20747,50,0,300,0,0,0,0,0,0,0,0
9,45,5,297,294,6,12,0,0,45,5267,22130,50,0,300,0,0,0,0,0,0,0,0
10,45,5,295,293,10,14,0,0,45,4244,22956,50,0,300,0,0,0,0,0,0,0,0
11,45,5,295,293,10,14,0,0,45,3713,23743,50,0,300,0,0,0,0,0,0,0,0
12,45,5,294,293,12,14,0,0,45,3141,25044,50,0,300,0,0,0,0,0,0,0,0
13,44,6,293,292,14,16,0,0,44,2520,26287,50,0,300,0,0,0,0,0,0,0,0
14,44,6,293,292,14,16,0,0,44,2083,27464,50,0,300,0,0,0,0,0,0,0,0
15,43,7,293,291,14,18,0,0,43,1692,28703,50,0,300,0,0,0,0,0,0,0,0
16,43,7,291,291,18,18,0,0,43,1343,30241,50,0,300,0,0,0,0,0,0,0,0
17,41,9,289,291,22,18,0,0,41,1134,32250,50,0,300,0,0,0,0,0,0,0,0
18,41,9,289,291,22,18,0,0,41,979,33942,50,0,300,0,0,0,0,0,0,0,0
19,39,11,289,291,22,18,0,0,39,772,34733,50,0,300,0,0,0,0,0,0,0,0
20,39,11,286,290,28,20,0,0,39,679,36114,50,0,300,0,0,0,0,0,0,0,0
21,37,13,284,286,32,28,0,0,37,550,37275,50,0,300,0,0,0,0,0,0,0,0
22,37,13,281,286,38,28,0,0,37,480,38463,50,0,300,0,0,0,0,0,0,0,0
23,37,13,280,284,40,32,0,0,37,389,40083,50,0,300,0,0,0,0,0,0,0,0
24,37,13,279,283,42,34,0,0,37,319,41398,50,0,300,0,0,0,0,0,0,0,0
25,36,14,276,282,48,36,0,0,36,271,42800,50,0,300,0,0,0,0,0,0,0,0
26,36,14,275,281,50,38,0,0,36,236,44164,50,0,300,0,0,0,0,0,0,0,0
27,34,16,273,279,54,42,0,0,34,204,45094,50,0,300,0,0,0,0,0,0,0,0
28,34,16,272,276,56,48,0,0,34,165,46515,50,0,300,0,0,0,0,0,0,0,0
29,32,18,271,273,58,54,0,0,32,137,47752,50,0,300,0,0,0,0,0,0,0,0
30,32,18,271,271,58,58,0,0,32,113,49445,50,0,300,0,0,0,0,0,0,0,0
31,30,20,270,271,60,58,0,0,30,96,50902,50,0,300,0,0,0,0,0,0,0,0
32,30,20,268,269,64,62,0,0,30,83,52375,50,0,300,0,0,0,0,0,0,0,0
33,28,22,266,267,68,66,0,0,28,74,53714,50,0,300,0,0,0,0,0,0,0,0
34,28,22,264,267,72,66,0,0,28,4111,47125,50,0,300,0,0,0,0,0,0,0,0
35,28,22,263,265,74,70,0,0,28,8685,44159,50,0,300,0,0,0,0,0,0,0,0
36,28,22,260,264,80,72,0,0,28,11745,41473,50,0,300,0,0,0,0,0,0,0,0
37,28,22,259,264,82,72,0,0,28,14569,36495,50,0,300,0,0,0,0,0,0,0,0
38,28,22,257,263,86,74,0,0,28,16819,32843,50,0,300,0,0,0,0,0,0,0,0
39,26,24,255,262,90,76,0,0,26,19507,29457,50,0,300,0,0,0,0,0,0,0,0
40,26,24,253,262,94,76,0,0,26,20120,27032,50,0,300,0,0,0,0,0,0,0,0
41,26,24,252,259,96,82,0,0,26,22017,25629,50,0,300,0,0,0,0,0,0,0,0
42,26,24,252,256,96,88,0,0,26,23962,24924,50,0,300,0,0,0,0,0,0,0,0
43,24,26,250,255,100,90,0,0,24,25341,22615,50,0,300,0,0,0,0,0,0,0,0
44,24,26,249,255,102,90,0,0,24,28544,21038,50,0,300,0,0,0,0,0,0,0,0
45,24,26,247,254,106,92,0,0,24,31471,19777,50,0,300,0,0,0,0,0,0,0,0
46,24,26,246,252,108,96,0,0,24,31305,18204,50,0,300,0,0,0,0,0,0,0,0
47,24,26,245,252,110,96,0,0,24,29022,17429,50,0,300,0,0,0,0,0,0,0,0
48,24,26,243,249,114,102,0,0,24,30053,16235,50,0,300,0,0,0,0,0,0,0,0
49,24,26,242,247,116,106,0,0,24,28574,16400,50,0,300,0,0,0,0,0,0,0,0
50,24,26,240,246,120,108,0,0,24,28306,16187,50,0,300,0,0,0,0,0,0,0,0
51,24,26,238,244,124,112,0,0,24,28155,15386,50,0,300,0,0,0,0,0,0,0,0
52,24,26,238,244,124,112,0,0,24,28270,14739,50,0,300,0,0,0,0,0,0,0,0
53,24,26,237,241,126,118,0,0,24,30180,13878,50,0,300,0,0,0,0,0,0,0,0
54,24,26,236,241,128,118,0,0,24,30898,13041,50,0,300,0,0,0,0,0,0,0,0
