tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,300,300,0,0,0,0,50,26248,11535,50,0,300,0,0,0,0,0,0,0,0
2,50,0,300,300,0,0,0,0,50,22814,12672,50,0,300,0,0,0,0,0,0,0,0
3,50,0,300,300,0,0,0,0,50,19346,14046,50,0,300,0,0,0,0,0,0,0,0
4,50,0,300,300,0,0,0,0,50,16089,14985,50,0,300,0,0,0,0,0,0,0,0
5,50,0,300,300,0,0,0,0,50,13282,16445,50,0,300,0,0,0,0,0,0,0,0
6,50,0,300,300,0,0,0,0,50,11066,17875,50,0,300,0,0,0,0,0,0,0,0
7,48,2,299,300,2,0,0,0,48,9524,19576,50,0,300,0,0,0,0,0,0,0,0
8,48,2,299,299,2,2,0,0,48,8345,20859,50,0,300,0,0,0,0,0,0,0,0
9,47,3,299,299,2,2,0,0,47,6993,21801,50,0,300,0,0,0,0,0,0,0,0
10,47,3,298,299,4,2,0,0,47,6123,23111,50,0,300,0,0,0,0,0,0,0,0
11,46,4,298,297,4,6,0,0,46,5059,24588,50,0,300,0,0,0,0,0,0,0,0
12,46,4,298,297,4,6,0,0,46,4138,25734,50,0,300,0,0,0,0,0,0,0,0
13,44,6,298,297,4,6,0,0,44,3474,27127,50,0,300,0,0,0,0,0,0,0,0
14,44,6,298,296,4,8,0,0,44,2942,28347,50,0,300,0,0,0,0,0,0,0,0
15,44,6,298,296,4,8,0,0,44,2469,29872,50,0,300,0,0,0,0,0,0,0,0
16,44,6,297,295,6,10,0,0,44,1991,31169,50,0,300,0,0,0,0,0,0,0,0
17,44,6,295,294,10,12,0,0,44,1632,32895,50,0,300,0,0,0,0,0,0,0,0
18,44,6,295,293,10,14,0,0,44,1458,34457,50,0,300,0,0,0,0,0,0,0,0
19,43,7,295,293,10,14,0,0,43,1199,35593,50,0,300,0,0,0,0,0,0,0,0
20,43,7,294,292,12,16,0,0,43,1037,36993,50,0,300,0,0,0,0,0,0,0,0
21,41,9,294,290,12,20,0,0,41,830,38650,50,0,300,0,0,0,0,0,0,0,0
22,41,9,293,289,14,22,0,0,41,675,40323,50,0,300,0,0,0,0,0,0,0,0
23,40,10,292,287,16,26,0,0,40,542,41685,50,0,300,0,0,0,0,0,0,0,0
24,40,10,292,286,16,28,0,0,40,459,43449,50,0,300,0,0,0,0,0,0,0,0
25,40,10,292,284,16,32,0,0,40,389,45122,50,0,300,0,0,0,0,0,0,0,0
26,40,10,291,284,18,32,0,0,40,334,47053,50,0,300,0,0,0,0,0,0,0,0
27,38,12,290,280,20,40,0,0,38,283,48218,50,0,300,0,0,0,0,0,0,0,0
28,38,12,289,280,22,40,0,0,38,241,49672,50,0,300,0,0,0,0,0,0,0,0
29,38,12,287,280,26,40,0,0,38,222,50830,50,0,300,0,0,0,0,0,0,0,0
30,38,12,286,280,28,40,0,0,38,198,52078,50,0,300,0,0,0,0,0,0,0,0
31,37,13,286,279,28,42,0,0,37,164,53564,50,0,300,0,0,0,0,0,0,0,0
32,37,13,285,278,30,44,0,0,37,137,55090,50,0,300,0,0,0,0,0,0,0,0
33,36,14,283,278,34,44,0,0,36,122,56392,50,0,300,0,0,0,0,0,0,0,0
34,36,14,281,277,38,46,0,0,36,106,58132,50,0,300,0,0,0,0,0,0,0,0
35,35,15,280,274,40,52,0,0,35,87,59570,50,0,300,0,0,0,0,0,0,0,0
36,35,15,279,274,42,52,0,0,35,79,61051,50,0,300,0,0,0,0,0,0,0,0
37,35,15,279,274,42,52,0,0,35,71,62346,50,0,300,0,0,0,0,0,0,0,0
38,35,15,279,272,42,56,0,0,35,60,63410,50,0,300,0,0,0,0,0,0,0,0
39,35,15,278,271,44,58,0,0,35,55,64860,50,0,300,0,0,0,0,0,0,0,0
40,35,15,278,270,44,60,0,0,35,49,66341,50,0,300,0,0,0,0,0,0,0,0
41,35,15,276,270,48,60,0,0,35,44,67727,50,0,300,0,0,0,0,0,0,0,0
42,35,15,275,269,50,62,0,0,35,42,69347,50,0,300,0,0,0,0,0,0,0,0
43,34,16,275,267,50,66,0,0,34,37,70775,50,0,300,0,0,0,0,0,0,0,0
44,34,16,274,267,52,66,0,0,34,35,72012,50,0,300,0,0,0,0,0,0,0,0
45,32,18,274,264,52,72,0,0,32,33,73286,50,0,300,0,0,0,0,0,0,0,0
46,32,18,274,263,52,74,0,0,32,33,74281,50,0,300,0,0,0,0,0,0,0,0
47,30,20,270,261,60,78,0,0,30,33,75982,50,0,300,0,0,0,0,0,0,0,0
48,30,20,269,258,62,84,0,0,30,32,77527,50,0,300,0,0,0,0,0,0,0,0
49,30,20,269,258,62,84,0,0,30,32,79370,50,0,300,0,0,0,0,0,0,0,0
50,30,20,269,257,62,86,0,0,30,31,81046,50,0,300,0,0,0,0,0,0,0,0
51,29,21,268,257,64,86,0,0,29,29,82179,50,0,300,0,0,0,0,0,0,0,0
52,29,21,268,257,64,86,0,0,29,4815,73034,50,0,300,0,0,0,0,0,0,0,0
53,27,23,266,256,68,88,0,0,27,8226,65844,50,0,300,0,0,0,0,0,0,0,0
54,27,23,262,255,76,90,0,0,27,13548,57701,50,0,300,0,0,0,0,0,0,0,0
55,25,25,262,255,76,90,0,0,25,17064,48006,50,0,300,0,0,0,0,0,0,0,0
56,25,25,260,252,80,96,0,0,25,19834,42354,50,0,300,0,0,0,0,0,0,0,0
57,25,25,260,251,80,98,0,0,25,22738,36789,50,0,300,0,0,0,0,0,0,0,0
58,25,25,259,250,82,100,0,0,25,25966,31570,50,0,300,0,0,0,0,0,0,0,0
59,25,25,258,249,84,102,0,0,25,28354,28676,50,0,300,0,0,0,0,0,0,0,0
60,25,25,257,245,86,110,0,0,25,27314,25803,50,0,300,0,0,0,0,0,0,0,0
61,23,27,256,245,88,110,0,0,23,27908,22976,50,0,300,0,0,0,0,0,0,0,0
62,23,27,251,244,98,112,0,0,23,27854,20536,50,0,300,0,0,0,0,0,0,0,0
63,22,28,248,243,104,114,0,0,22,30270,18752,50,0,300,0,0,0,0,0,0,0,0
64,22,28,245,241,110,118,0,0,22,29350,17991,50,0,300,0,0,0,0,0,0,0,0
65,22,28,243,238,114,124,0,0,23,29427,17035,50,0,300,0,0,0,0,0,0,0,0
66,22,28,242,237,116,126,0,0,23,30487,15597,50,0,300,0,0,0,0,0,0,0,0
67,22,28,241,234,118,132,0,0,24,33204,14999,50,0,300,0,0,0,0,0,0,0,0
68,22,28,238,232,124,136,0,0,24,30256,13964,50,0,300,0,0,0,0,0,0,0,0
69,22,28,236,232,128,136,0,0,25,30483,12725,50,0,300,0,0,0,0,0,0,0,0
70,22,28,234,230,132,140,0,0,25,30982,12005,50,0,300,0,0,0,0,0,0,0,0
71,22,28,232,227,136,146,0,0,26,32283,10871,50,0,300,0,0,0,0,0,0,0,0
72,22,28,230,226,140,148,0,0,26,33109,10505,50,0,300,0,0,0,0,0,0,0,0
73,22,28,230,226,140,148,0,0,27,35694,10259,50,0,300,0,0,0,0,0,0,0,0
74,22,28,230,225,140,150,0,0,27,37917,10071,50,0,300,0,0,0,0,0,0,0,0
75,22,28,228,224,144,152,0,0,27,36293,9138,50,0,300,0,0,0,0,0,0,0,0
76,22,28,227,223,146,154,0,0,27,35330,9007,50,0,300,0,0,0,0,0,0,0,0
77,22,28,226,223,148,154,0,0,27,36346,8905,50,0,300,0,0,0,0,0,0,0,0
78,22,28,226,223,148,154,0,0,27,36884,8180,50,0,300,0,0,0,0,0,0,0,0
79,22,28,223,222,154,156,0,0,27,36433,7829,50,0,300,0,0,0,0,0,0,0,0
80,22,28,223,218,154,164,0,0,27,36794,7929,50,0,300,0,0,0,0,0,0,0,0
